year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2022,McHugh, Collin,543521,Braves,ATL,R,88.9,516,1086,6.703703704,0.475138122,FC,Cutter,25.6,-26.5,0.9,3,0.8,2.1,-1.3,-63,0.686567164,0.291044776
2022,Lynn, Lance,458681,White Sox,CWS,R,89,491,2022,12.48148148,0.242828882,FC,Cutter,29,-26.2,-2.8,-11,2.2,2,0.2,11,0.141791045,0.589552239
2022,Bassitt, Chris,605135,Mets,NYM,R,89.1,483,2886,17.81481481,0.167359667,FC,Cutter,25.6,-26.1,0.5,2,2.5,1.9,0.6,31,0.641791045,0.656716418
2022,Bieber, Shane,669456,Guardians,CLE,R,86.9,477,2875,17.74691358,0.165913043,FC,Cutter,27.3,-28.7,1.4,5,2,2.7,-0.7,-27,0.731343284,0.410447761
2022,Cueto, Johnny,456501,White Sox,CWS,R,86.9,467,2372,14.64197531,0.19688027,FC,Cutter,26.1,-27.8,1.7,6,3.3,1.7,-5,-296,0.76119403,0.02238806
2022,Watkins, Spenser,657093,Orioles,BAL,R,87.1,458,1642,10.13580247,0.278928136,FC,Cutter,28.5,-28.6,0.2,1,6,3.4,2.6,75,0.582089552,0.888059701
2022,Alexander, Tyler,641302,Tigers,DET,L,85.5,440,1591,9.820987654,0.276555625,FC,Cutter,27.8,-30.2,2.4,8,3.8,3.2,0.6,20,0.813432836,0.656716418
2022,Gallen, Zac,668678,D-backs,AZ,R,89.9,435,2935,18.11728395,0.148211244,FC,Cutter,26.7,-25.5,-1.3,-5,5.3,2.2,3.2,146,0.320895522,0.947761194
2022,Yarbrough, Ryan,642232,Rays,TB,L,82.3,411,1355,8.364197531,0.303321033,FC,Cutter,34.5,-34.9,0.4,1,1.9,3.1,-1.2,-39,0.611940299,0.320895522
2022,Crawford, Kutter,676710,Red Sox,BOS,R,88.8,408,1296,8,0.314814815,FC,Cutter,26.7,-26.5,-0.2,-1,4.4,2.3,2,87,0.514925373,0.820895522
2022,Thompson, Keegan,624522,Cubs,CHC,R,89.9,389,1878,11.59259259,0.20713525,FC,Cutter,25.4,-25.3,-0.1,0,5.2,1.9,3.3,172,0.537313433,0.955223881
2022,Voth, Austin,608723,Orioles,BAL,R,89.5,383,1762,10.87654321,0.217366629,FC,Cutter,26.6,-25.8,-0.9,-3,2.5,2,0.5,24,0.388059701,0.641791045
2022,Odorizzi, Jake,543606,Braves,ATL,R,87.6,379,1798,11.09876543,0.210789766,FC,Cutter,23.3,-27.7,4.4,16,2.6,2.8,-0.2,-8,0.940298507,0.507462687
2022,Alvarado, José,621237,Phillies,PHI,L,93.8,378,881,5.438271605,0.429057889,FC,Cutter,25.5,-21,-4.5,-22,1.9,3.2,-1.3,-41,0.059701493,0.291044776
2022,Rodriguez, Eduardo,593958,Tigers,DET,L,88.7,362,1469,9.067901235,0.24642614,FC,Cutter,24.9,-26.5,1.6,6,1.1,2.2,-1,-49,0.746268657,0.358208955
2022,Minter, A.J.,621345,Braves,ATL,L,90.3,357,1111,6.858024691,0.321332133,FC,Cutter,29,-24.8,-4.2,-17,5.1,1.7,3.4,199,0.089552239,0.962686567
2022,Loup, Aaron,571901,Angels,LAA,L,84.7,348,967,5.969135802,0.359875905,FC,Cutter,35.6,-33.5,-2.1,-6,0.3,0.1,-0.4,-437,0.223880597,0.47761194
2022,Doval, Camilo,666808,Giants,SF,R,99.4,342,1121,6.919753086,0.305084746,FC,Cutter,14.7,-15,0.3,2,5,-4.5,-0.5,12,0.597014925,0.455223881
2022,Smyly, Drew,592767,Cubs,CHC,L,88.6,340,1814,11.19753086,0.187431092,FC,Cutter,23.6,-26.8,3.2,12,3.6,2.6,-6.2,-236,0.850746269,0.007462687
