year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2022,Moore, Matt,519043,Rangers,TEX,L,83.6,477,1248,7.703703704,0.382211538,CUKC,Curveball,50.2,-49,1.1,2,4.1,5.9,-1.9,-31,0.587234043,0.280851064
2022,Greinke, Zack,425844,Royals,KC,R,72,462,2272,14.02469136,0.20334507,CUKC,Curveball,64.4,-66.3,-1.9,-3,12.5,12.1,0.4,4,0.306382979,0.587234043
2022,Gray, Sonny,543243,Twins,MIN,R,78.7,460,1872,11.55555556,0.245726496,CUKC,Curveball,58.9,-53,5.9,11,14.4,10.8,3.6,33,0.936170213,0.859574468
2022,Cease, Dylan,656302,White Sox,CWS,R,81.1,435,3120,19.25925926,0.139423077,CUKC,Curveball,59.1,-52.2,6.9,13,3.6,7.1,-3.6,-50,0.965957447,0.140425532
2022,Thompson, Zach,605507,Pirates,PIT,R,76.6,434,2080,12.83950617,0.208653846,CUKC,Curveball,56.5,-59.1,-2.6,-4,5,8,-3,-38,0.229787234,0.165957447
2022,Lauer, Eric,641778,Brewers,MIL,L,78.2,429,2676,16.51851852,0.160313901,CUKC,Curveball,52.7,-55,-2.4,-4,6.4,9.1,-2.6,-29,0.246808511,0.208510638
2022,Civale, Aaron,650644,Guardians,CLE,R,75.9,428,1588,9.802469136,0.269521411,CUKC,Curveball,65.8,-59.5,6.3,11,11.7,8.9,2.8,32,0.944680851,0.812765957
2022,Kelly, Merrill,518876,D-backs,AZ,R,82.2,413,3071,18.95679012,0.134483881,CUKC,Curveball,50.9,-49.3,1.7,3,9.1,8.7,0.4,5,0.65106383,0.587234043
2022,Taillon, Jameson,592791,Yankees,NYY,R,81.1,413,2805,17.31481481,0.147237077,CUKC,Curveball,51.8,-51.8,0,0,9.2,7.6,1.6,21,0.463829787,0.731914894
2022,Keller, Mitch,656605,Pirates,PIT,R,78.7,411,2661,16.42592593,0.154453213,CUKC,Curveball,60,-55,5,9,11.2,8.6,2.6,30,0.910638298,0.804255319
2022,Germán, Domingo,593334,Yankees,NYY,R,81,403,1081,6.672839506,0.37280296,CUKC,Curveball,45,-50.1,-5.1,-10,1.3,9.7,-8.3,-86,0.119148936,0.004255319
2022,Lyles, Jordan,543475,Orioles,BAL,R,79.1,400,2988,18.44444444,0.133868809,CUKC,Curveball,58.7,-54.1,4.6,8,7.6,8.6,-1,-11,0.889361702,0.412765957
2022,Detmers, Reid,672282,Angels,LAA,L,73.1,397,2181,13.46296296,0.182026593,CUKC,Curveball,67,-64.3,2.7,4,12.2,10.8,1.4,13,0.731914894,0.69787234
2022,Bassitt, Chris,605135,Mets,NYM,R,71.6,392,2886,17.81481481,0.135828136,CUKC,Curveball,67.9,-67.5,0.5,1,14.9,12.9,2,16,0.510638298,0.74893617
