year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2022,Fulmer, Michael,605242,Twins,MIN,R,90.3,661,1043,6.438271605,0.633748802,SL,Slider,26.7,-29.8,-3.2,-11,4.2,3.5,0.8,22,0.134986226,0.630853994
2022,Okert, Steven,595345,Marlins,MIA,L,82,659,968,5.975308642,0.680785124,SL,Slider,35.9,-39.9,-4.1,-10,10.2,9.5,0.7,7,0.079889807,0.614325069
2022,Hutchison, Drew,571800,Tigers,DET,R,86,653,1759,10.85802469,0.371233655,SL,Slider,37.2,-35.2,2,6,4.5,4.9,-0.4,-8,0.738292011,0.454545455
2022,Giolito, Lucas,608337,White Sox,CWS,R,84.4,649,2753,16.99382716,0.235742826,SL,Slider,37.2,-36.8,0.4,1,3.5,5.7,-2.2,-39,0.570247934,0.261707989
2022,Strider, Spencer,675911,Braves,ATL,R,86.3,643,2277,14.05555556,0.282389108,SL,Slider,35.6,-34.6,1,3,5.2,5.2,0,0,0.633608815,0.526170799
2022,Freeland, Kyle,607536,Rockies,COL,L,85.5,639,2839,17.52469136,0.225079253,SL,Slider,32.6,-35.7,-3,-9,1.4,6,-4.5,-76,0.154269972,0.107438017
2022,Wheeler, Zack,554430,Phillies,PHI,R,90.6,634,2358,14.55555556,0.268871925,SL,Slider,26.8,-28.9,-2.1,-7,2.3,2.8,-0.4,-15,0.225895317,0.454545455
2022,Steele, Justin,657006,Cubs,CHC,L,82.1,629,2032,12.54320988,0.309547244,SL,Slider,43.3,-40,3.3,8,14.1,8.3,5.7,69,0.851239669,0.931129477
2022,McKenzie, Triston,663474,Guardians,CLE,R,87.3,621,2807,17.32716049,0.221232633,SL,Slider,25.6,-32.7,-7,-22,5.3,4.5,0.8,17,0.005509642,0.630853994
2022,Rogers, Taylor,573124,Brewers,MIL,L,80.9,619,1085,6.697530864,0.570506912,SL,Slider,40.4,-41,-0.5,-1,14.1,10.8,3.4,32,0.402203857,0.826446281
2022,Otto, Glenn,657248,Rangers,TEX,R,81.1,614,2229,13.75925926,0.275459847,SL,Slider,42.4,-41,1.3,3,16.5,10.1,6.5,64,0.672176309,0.96969697
2022,Pivetta, Nick,601713,Red Sox,BOS,R,85.8,606,3082,19.02469136,0.196625568,SL,Slider,33.6,-34.8,-1.2,-3,5.8,5.1,0.7,13,0.305785124,0.614325069
2022,Hudson, Dakota,641712,Cardinals,STL,R,87.8,603,2253,13.90740741,0.267643142,SL,Slider,30.7,-32.9,-2.2,-7,0.4,4.4,-4,-90,0.209366391,0.137741047
2022,Bradish, Kyle,680694,Orioles,BAL,R,86.9,592,1993,12.30246914,0.297039639,SL,Slider,37.4,-33.4,4,12,10.8,4.6,6.2,137,0.909090909,0.955922865
2022,Márquez, Germán,608566,Rockies,COL,R,87.7,592,2839,17.52469136,0.208524128,SL,Slider,31.1,-33.1,-2,-6,0.3,3.7,-3.4,-91,0.247933884,0.17630854
2022,Skubal, Tarik,669373,Tigers,DET,L,89.3,592,1914,11.81481481,0.309299896,SL,Slider,25.9,-31,-5.1,-17,1.1,3.7,-2.6,-70,0.033057851,0.223140496
2022,Carrasco, Carlos,471911,Mets,NYM,R,84.9,581,2412,14.88888889,0.240878939,SL,Slider,35.6,-36.5,-0.9,-2,2.3,6.4,-4.1,-64,0.347107438,0.129476584
2022,Stroman, Marcus,573186,Cubs,CHC,R,84.7,573,2181,13.46296296,0.262723521,SL,Slider,38.3,-36.8,1.5,4,13.4,6.8,6.6,97,0.696969697,0.972451791
2022,Brebbia, John,605154,Giants,SF,R,84,572,1091,6.734567901,0.524289643,SL,Slider,35.4,-37.3,-1.9,-5,5.9,6.9,-1,-15,0.269972452,0.402203857
2022,Snell, Blake,605483,Padres,SD,L,88.9,569,2341,14.45061728,0.243058522,SL,Slider,29.9,-30.6,-0.7,-2,4.1,4.1,0,-1,0.377410468,0.526170799
2022,Darvish, Yu,506433,Padres,SD,R,82.3,566,2971,18.33950617,0.190508246,SL,Slider,42.6,-39.2,3.4,9,15,9.4,5.5,58,0.865013774,0.925619835
2022,Kikuchi, Yusei,579328,Blue Jays,TOR,L,86.5,566,1843,11.37654321,0.307107976,SL,Slider,34.5,-34.3,0.2,1,3.1,5.3,-2.2,-42,0.52892562,0.261707989
2022,Jax, Griffin,643377,Twins,MIN,R,86.4,560,1157,7.141975309,0.484010372,SL,Slider,38.8,-34.7,4.1,12,11.4,4.7,6.6,140,0.920110193,0.972451791
2022,Detmers, Reid,672282,Angels,LAA,L,85.9,557,2181,13.46296296,0.255387437,SL,Slider,37.9,-35.4,2.4,7,3.1,5,-1.8,-37,0.774104683,0.308539945
2022,Peterson, David,656849,Mets,NYM,L,84.4,550,1889,11.66049383,0.291159344,SL,Slider,37.7,-36.7,0.9,3,3.9,6.4,-2.4,-38,0.614325069,0.242424242
2022,Bass, Anthony,542914,Blue Jays,TOR,R,86.6,549,986,6.086419753,0.556795132,SL,Slider,38,-34.3,3.6,11,4.7,4.8,-0.1,-2,0.884297521,0.517906336
2022,Ashby, Aaron,676879,Brewers,MIL,L,83.5,548,1878,11.59259259,0.291799787,SL,Slider,42.3,-38.6,3.7,9,9.4,6.1,3.3,55,0.889807163,0.818181818
2022,Contreras, Roansy,672710,Pirates,PIT,R,83.8,543,1588,9.802469136,0.341939547,SL,Slider,40.3,-37.8,2.5,7,4.3,7.1,-2.8,-40,0.787878788,0.214876033
2022,Kopech, Michael,656629,White Sox,CWS,R,84.3,539,2011,12.41358025,0.268025858,SL,Slider,40.2,-37.1,3.1,8,4.7,6.9,-2.2,-32,0.842975207,0.261707989
2022,Barlow, Scott,605130,Royals,KC,R,84.1,534,1198,7.395061728,0.445742905,SL,Slider,39.4,-36.9,2.5,7,8.1,8,0.1,1,0.787878788,0.542699725
2022,Springs, Jeffrey,605488,Rays,TB,L,85.4,533,2149,13.2654321,0.248022336,SL,Slider,32.4,-35.7,-3.3,-9,4.5,5.5,-1.1,-19,0.123966942,0.391184573
