name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Dauri Moreta,Moreta, Dauri,664294,CIN,R,87.8,126,613,CH,Changeup,21.3,12.5
 JT Brubaker,Brubaker, JT,664141,PIT,R,87.2,121,2381,CH,Changeup,29.6,15.2
 Daulton Jefferies,Jefferies, Daulton,641726,OAK,R,86.1,121,611,CH,Changeup,33.1,15.0
 Aaron Loup,Loup, Aaron,571901,LAA,L,80.3,121,967,CH,Changeup,45.1,17.6
 Scott Effross,Effross, Scott,664123,NYY,R,83.0,119,815,CH,Changeup,48.6,14.3
 Blake Snell,Snell, Blake,605483,SD,L,87.1,118,2341,CH,Changeup,26.1,13.7
 Garrett Hill,Hill, Garrett,682051,DET,R,82.2,118,1019,CH,Changeup,35.0,12.7
 Josh Winckowski,Winckowski, Josh,670174,BOS,R,89.9,117,1194,CH,Changeup,31.5,15.6
 Jimmy Lambert,Lambert, Jimmy,669424,CWS,R,85.4,116,818,CH,Changeup,31.2,14.6
 Hunter Greene,Greene, Hunter,668881,CIN,R,90.1,116,2200,CH,Changeup,22.0,11.3
 Brad Keller,Keller, Brad,641745,KC,R,90.0,115,2275,CH,Changeup,25.1,10.1
 Antonio Senzatela,Senzatela, Antonio,622608,COL,R,87.0,115,1521,CH,Changeup,27.8,8.0
 Jonathan Loáisiga,Loáisiga, Jonathan,642528,NYY,R,89.9,114,761,CH,Changeup,23.3,16.9
 Will Vest,Vest, Will,676684,DET,R,86.8,114,1083,CH,Changeup,32.6,15.5
 Davis Martin,Martin, Davis,663436,CWS,R,85.9,113,1044,CH,Changeup,28.0,14.9
 Vince Velasquez,Velasquez, Vince,592826,CWS,R,88.1,111,1286,CH,Changeup,28.4,12.2
 T.J. McFarland,McFarland, T.J.,519008,STL,L,81.8,107,487,CH,Changeup,40.5,14.9
 Aaron Sanchez,Sanchez, Aaron,592717,MIN,R,87.8,107,1006,CH,Changeup,29.3,15.7
 Vladimir Gutierrez,Gutierrez, Vladimir,661269,CIN,R,82.9,105,684,CH,Changeup,29.9,13.1
 Jonathan Hernández,Hernández, Jonathan,642546,TEX,R,90.1,105,511,CH,Changeup,28.1,19.4
 Bryce Elder,Elder, Bryce,693821,ATL,R,86.0,104,873,CH,Changeup,32.8,11.7
 Ryan Feltner,Feltner, Ryan,663372,COL,R,83.8,102,1675,CH,Changeup,33.0,5.3
 Lou Trivino,Trivino, Lou,642152,NYY,R,87.4,102,955,CH,Changeup,35.4,16.1
 Tyler Danish,Danish, Tyler,641501,BOS,R,84.4,98,664,CH,Changeup,39.5,14.6
 Carl Edwards Jr.,Edwards Jr., Carl,605218,WSH,R,90.6,97,1014,CH,Changeup,23.4,12.3
 Miguel Castro,Castro, Miguel,612434,NYY,R,92.5,97,522,CH,Changeup,31.5,17.6
 Ralph Garza Jr.,Garza Jr., Ralph,621248,TB,R,83.1,97,514,CH,Changeup,33.4,16.4
 Rony García,García, Rony,665621,DET,R,87.5,97,885,CH,Changeup,26.9,12.1
 Enyel De Los Santos,De Los Santos, Enyel,660853,CLE,R,87.4,93,845,CH,Changeup,26.3,15.4
 Kutter Crawford,Crawford, Kutter,676710,BOS,R,86.6,93,1296,CH,Changeup,25.9,10.9
 Ian Kennedy,Kennedy, Ian,453178,AZ,R,85.7,92,867,CH,Changeup,29.0,8.4
 Jackson Stephens,Stephens, Jackson,623451,ATL,R,85.9,91,944,CH,Changeup,35.2,8.2
 David Phelps,Phelps, David,475479,TOR,R,86.5,86,1151,CH,Changeup,28.3,18.0
 Ken Waldichuk,Waldichuk, Ken,686610,OAK,L,82.4,85,586,CH,Changeup,36.2,15.4
 Jared Koenig,Koenig, Jared,657649,OAK,L,82.8,85,653,CH,Changeup,32.6,13.2
 Joan Adon,Adon, Joan,672851,WSH,R,87.4,82,1204,CH,Changeup,28.5,16.1
 Peter Strzelecki,Strzelecki, Peter,657265,MIL,R,83.3,82,605,CH,Changeup,40.5,16.4
 Walker Buehler,Buehler, Walker,621111,LAD,R,90.5,82,1046,CH,Changeup,28.3,13.7
 Ryan Tepera,Tepera, Ryan,572193,LAA,R,85.8,79,892,CH,Changeup,32.2,11.1
 J.B. Wendelken,Wendelken, J.B.,605525,AZ,R,85.5,79,488,CH,Changeup,32.6,15.4
 Humberto Castellanos,Castellanos, Humberto,528748,AZ,R,84.0,78,748,CH,Changeup,35.8,15.2
 Jacob deGrom,deGrom, Jacob,594798,NYM,R,92.0,77,940,CH,Changeup,26.1,13.2
 Chris Stratton,Stratton, Chris,608717,STL,R,86.8,77,1100,CH,Changeup,32.4,11.6
 Yimi Garcia,Garcia, Yimi,554340,TOR,R,87.2,76,1039,CH,Changeup,32.4,18.3
 John Schreiber,Schreiber, John,670167,BOS,R,88.5,76,1020,CH,Changeup,37.6,15.6
 Matt Manning,Manning, Matt,666159,DET,R,86.2,75,990,CH,Changeup,29.5,11.7
 Matt Foster,Foster, Matt,641582,CWS,R,83.9,75,768,CH,Changeup,25.8,11.9
 Joey Wentz,Wentz, Joey,666214,DET,L,84.1,75,555,CH,Changeup,27.0,15.0
 José Quijada,Quijada, José,650671,LAA,L,86.9,75,691,CH,Changeup,31.3,16.3
 Tommy Henry,Henry, Tommy,674072,AZ,L,84.7,75,773,CH,Changeup,34.1,14.3
 Adam Ottavino,Ottavino, Adam,493603,NYM,R,89.1,75,1057,CH,Changeup,33.3,16.5
 Michael Rucker,Rucker, Michael,621074,CHC,R,90.0,74,914,CH,Changeup,29.5,14.6
 Ian Gibaut,Gibaut, Ian,664139,CIN,R,85.9,74,694,CH,Changeup,29.4,14.9
 Seth Martinez,Martinez, Seth,661527,HOU,R,86.5,74,592,CH,Changeup,37.2,15.2
 Jimmy Herget,Herget, Jimmy,623474,LAA,R,84.3,74,996,CH,Changeup,41.5,8.4
 Michael King,King, Michael,650633,NYY,R,88.3,74,776,CH,Changeup,27.4,17.8
 Zach Eflin,Eflin, Zach,621107,PHI,R,87.0,73,1194,CH,Changeup,27.8,13.8
 Matthew Liberatore,Liberatore, Matthew,669461,STL,L,85.9,73,650,CH,Changeup,28.2,12.8
 Daniel Castano,Castano, Daniel,641447,MIA,L,84.0,73,577,CH,Changeup,29.8,12.6
 Manny Bañuelos,Bañuelos, Manny,544365,PIT,L,83.1,72,718,CH,Changeup,34.5,15.7
 Albert Abreu,Abreu, Albert,656061,NYY,R,88.0,71,707,CH,Changeup,26.6,16.6
 Matt Strahm,Strahm, Matt,621381,BOS,L,88.2,70,764,CH,Changeup,27.8,18.4
 Elvin Rodriguez,Rodriguez, Elvin,660730,DET,R,86.6,69,534,CH,Changeup,25.5,14.9
 Andrew Bellatti,Bellatti, Andrew,571479,PHI,R,89.5,69,963,CH,Changeup,27.2,16.3
 Jordan Weems,Weems, Jordan,607179,WSH,R,87.3,68,738,CH,Changeup,29.5,10.0
 Mike Mayers,Mayers, Mike,594577,LAA,R,86.7,67,890,CH,Changeup,30.1,15.7
 MacKenzie Gore,Gore, MacKenzie,669022,SD,L,84.8,67,1258,CH,Changeup,24.9,13.1
 Jason Foley,Foley, Jason,671345,DET,R,89.5,66,961,CH,Changeup,31.7,14.8
 David Price,Price, David,456034,LAD,L,83.9,64,596,CH,Changeup,33.2,14.6
 Andrew Heaney,Heaney, Andrew,571760,LAD,L,85.0,63,1230,CH,Changeup,31.6,16.7
 Michael Fulmer,Fulmer, Michael,605242,MIN,R,86.5,63,1043,CH,Changeup,32.5,13.3
 Reyes Moronta,Moronta, Reyes,606625,AZ,R,89.0,62,641,CH,Changeup,29.0,17.0
 Joe Kelly,Kelly, Joe,523260,CWS,R,87.1,60,703,CH,Changeup,30.1,17.1
 Kirby Snead,Snead, Kirby,669912,OAK,L,87.6,55,780,CH,Changeup,35.9,18.6
 Johan Oviedo,Oviedo, Johan,670912,PIT,R,88.8,54,980,CH,Changeup,28.7,15.4
 Richard Bleier,Bleier, Richard,542947,MIA,L,82.9,53,768,CH,Changeup,35.1,15.9
 Dylan Lee,Lee, Dylan,669276,ATL,L,86.3,51,754,CH,Changeup,26.4,11.0
 Joe Jiménez,Jiménez, Joe,641729,DET,R,90.7,51,937,CH,Changeup,24.3,16.3
 Matt Barnes,Barnes, Matt,598264,BOS,R,87.2,50,693,CH,Changeup,27.8,18.1
 Steven Wilson,Wilson, Steven,621051,SD,R,85.1,49,874,CH,Changeup,28.7,16.2
 Zack Thompson,Thompson, Zack,668868,STL,L,87.7,48,575,CH,Changeup,26.1,12.3
 Javier Assad,Assad, Javier,665871,CHC,R,85.4,46,690,CH,Changeup,29.6,14.2
 Andrew Wantz,Wantz, Andrew,681806,LAA,R,86.9,46,831,CH,Changeup,32.2,10.8
 Austin Pruitt,Pruitt, Austin,643493,OAK,R,86.2,44,809,CH,Changeup,29.2,13.9
 Kirk McCarty,McCarty, Kirk,668948,CLE,L,84.7,44,574,CH,Changeup,25.0,12.5
 Drew Smith,Smith, Drew,622098,NYM,R,85.2,43,780,CH,Changeup,24.6,14.2
 Hayden Wesneski,Wesneski, Hayden,669713,CHC,R,87.0,38,495,CH,Changeup,32.4,15.3
 Kaleb Ort,Ort, Kaleb,672391,BOS,R,89.8,36,529,CH,Changeup,28.2,15.8
