name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Gerrit Cole,Cole, Gerrit,543037,NYY,R,83.0,353,3274,CUKC,Curveball,53.0,10.2
 Austin Gomber,Gomber, Austin,596295,COL,L,75.8,352,2059,CUKC,Curveball,61.6,7.0
 Phil Maton,Maton, Phil,664208,HOU,R,74.5,343,1089,CUKC,Curveball,58.9,19.9
 Craig Kimbrel,Kimbrel, Craig,518886,LAD,R,85.7,339,1077,CUKC,Curveball,44.0,10.2
 Glenn Otto,Otto, Glenn,657248,TEX,R,81.2,333,2229,CUKC,Curveball,52.3,6.5
 José Ruiz,Ruiz, José,614179,CWS,R,86.3,328,1115,CUKC,Curveball,42.0,2.0
 Matt Barnes,Barnes, Matt,598264,BOS,R,84.1,325,693,CUKC,Curveball,48.9,3.7
 Nathan Eovaldi,Eovaldi, Nathan,543135,BOS,R,78.3,322,1739,CUKC,Curveball,54.2,9.7
 Jhoan Duran,Duran, Jhoan,661395,MIN,R,87.8,321,1023,CUKC,Curveball,42.2,3.0
 Matt Bush,Bush, Matt,456713,MIL,R,81.0,320,909,CUKC,Curveball,51.8,8.4
 Brandon Woodruff,Woodruff, Brandon,605540,MIL,R,84.0,319,2538,CUKC,Curveball,46.0,2.5
 Chris Stratton,Stratton, Chris,608717,STL,R,80.8,318,1100,CUKC,Curveball,50.2,16.1
 Keegan Thompson,Thompson, Keegan,624522,CHC,R,81.3,316,1878,CUKC,Curveball,55.1,8.2
 Jonathan Heasley,Heasley, Jonathan,669169,KC,R,78.5,306,1796,CUKC,Curveball,60.3,6.1
 Dakota Hudson,Hudson, Dakota,641712,STL,R,80.5,305,2253,CUKC,Curveball,46.9,7.4
 David Phelps,Phelps, David,475479,TOR,R,81.7,304,1151,CUKC,Curveball,48.4,3.4
 Clayton Kershaw,Kershaw, Clayton,477132,LAD,L,73.2,301,1842,CUKC,Curveball,66.9,4.9
 Paul Blackburn,Blackburn, Paul,621112,OAK,R,78.8,301,1762,CUKC,Curveball,61.1,8.4
 Tommy Nance,Nance, Tommy,667297,MIA,R,85.3,295,751,CUKC,Curveball,49.4,11.5
 Andre Pallante,Pallante, Andre,669467,STL,R,76.5,294,1753,CUKC,Curveball,65.1,9.0
 Mitch White,White, Mitch,669952,TOR,R,80.2,293,1715,CUKC,Curveball,57.2,5.2
