name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Merrill Kelly,Kelly, Merrill,518876,AZ,R,92.6,522,3071,SIFT,Sinker,24.4,16.1
 Jordan Lyles,Lyles, Jordan,543475,BAL,R,90.8,522,2988,SIFT,Sinker,20.8,13.4
 Frankie Montas,Montas, Frankie,593423,NYY,R,95.6,515,2327,SIFT,Sinker,18.4,15.5
 Dallas Keuchel,Keuchel, Dallas,572971,TEX,L,87.2,512,1165,SIFT,Sinker,30.1,15.4
 Luis García,García, Luis,472610,SD,R,98.7,512,966,SIFT,Sinker,18.3,14.8
 Adrián Martínez,Martínez, Adrián,661309,OAK,R,93.8,511,1015,SIFT,Sinker,22.8,17.3
 Gregory Soto,Soto, Gregory,642397,DET,L,98.1,502,1102,SIFT,Sinker,18.6,16.7
 Daniel Bard,Bard, Daniel,453268,COL,R,98.0,496,953,SIFT,Sinker,21.4,14.5
 Sonny Gray,Gray, Sonny,543243,MIN,R,92.0,485,1872,SIFT,Sinker,22.7,13.4
 Jonathan Loáisiga,Loáisiga, Jonathan,642528,NYY,R,98.0,482,761,SIFT,Sinker,17.2,16.2
 Erasmo Ramírez,Ramírez, Erasmo,541640,WSH,R,93.1,481,1222,SIFT,Sinker,24.8,15.4
 José Alvarado,Alvarado, José,621237,PHI,L,99.6,480,881,SIFT,Sinker,13.2,12.7
 Zach Eflin,Eflin, Zach,621107,PHI,R,92.7,476,1194,SIFT,Sinker,24.6,17.0
 Aaron Loup,Loup, Aaron,571901,LAA,L,91.2,471,967,SIFT,Sinker,29.4,18.9
 Hoby Milner,Milner, Hoby,571948,MIL,L,88.9,466,1088,SIFT,Sinker,34.8,18.5
 Taylor Rogers,Rogers, Taylor,573124,MIL,L,94.3,464,1085,SIFT,Sinker,23.2,17.0
 Josh Winckowski,Winckowski, Josh,670174,BOS,R,94.0,458,1194,SIFT,Sinker,21.9,14.6
 Nick Lodolo,Lodolo, Nick,666157,CIN,L,94.2,453,1779,SIFT,Sinker,24.3,18.6
 José Quintana,Quintana, José,500779,STL,L,91.4,446,2724,SIFT,Sinker,19.7,12.6
 Kendall Graveman,Graveman, Kendall,608665,CWS,R,96.5,445,1035,SIFT,Sinker,18.9,15.5
 Zach Thompson,Thompson, Zach,605507,PIT,R,92.2,438,2080,SIFT,Sinker,24.1,9.7
 Jake Bird,Bird, Jake,656234,COL,R,95.0,430,745,SIFT,Sinker,30.0,11.1
 Bailey Falter,Falter, Bailey,663559,PHI,L,91.0,427,1295,SIFT,Sinker,15.8,7.9
 Jose Cuas,Cuas, Jose,621016,KC,R,93.1,426,687,SIFT,Sinker,31.2,16.9
 Justin Lawrence,Lawrence, Justin,664875,COL,R,95.1,422,763,SIFT,Sinker,29.3,16.5
 Kyle Hendricks,Hendricks, Kyle,543294,CHC,R,86.5,416,1347,SIFT,Sinker,27.8,12.9
 Aaron Sanchez,Sanchez, Aaron,592717,MIN,R,92.1,415,1006,SIFT,Sinker,22.5,16.4
 Zack Wheeler,Wheeler, Zack,554430,PHI,R,95.4,413,2358,SIFT,Sinker,18.5,16.0
 Zach Pop,Pop, Zach,647315,TOR,R,96.5,412,536,SIFT,Sinker,24.5,17.0
 Tim Hill,Hill, Tim,657612,SD,L,89.5,410,745,SIFT,Sinker,38.5,15.9
 Joely Rodríguez,Rodríguez, Joely,570257,NYM,L,92.7,408,842,SIFT,Sinker,25.7,17.4
 Cristopher Sánchez,Sánchez, Cristopher,650911,PHI,L,93.0,404,662,SIFT,Sinker,23.5,17.8
 Tarik Skubal,Skubal, Tarik,669373,DET,L,94.8,404,1914,SIFT,Sinker,19.3,15.2
 Steven Matz,Matz, Steven,571927,STL,L,94.5,402,849,SIFT,Sinker,18.3,15.4
 Steve Cishek,Cishek, Steve,518553,WSH,R,89.8,394,1175,SIFT,Sinker,29.3,17.7
 John King,King, John,667463,TEX,L,92.4,392,749,SIFT,Sinker,31.4,15.6
 Dennis Santana,Santana, Dennis,642701,TEX,R,96.7,386,991,SIFT,Sinker,20.5,17.6
 Jeurys Familia,Familia, Jeurys,544727,BOS,R,95.2,378,817,SIFT,Sinker,26.8,15.5
 Craig Stammen,Stammen, Craig,489334,SD,R,91.4,378,701,SIFT,Sinker,22.1,14.2
 Richard Bleier,Bleier, Richard,542947,MIA,L,89.8,373,768,SIFT,Sinker,30.6,15.5
 Max Fried,Fried, Max,608331,ATL,L,93.6,373,2818,SIFT,Sinker,21.6,11.0
 Shawn Armstrong,Armstrong, Shawn,542888,TB,R,95.6,373,1047,SIFT,Sinker,18.6,15.5
 Ty Blach,Blach, Ty,621389,COL,L,91.1,370,674,SIFT,Sinker,24.1,14.2
 Bryce Elder,Elder, Bryce,693821,ATL,R,90.7,369,873,SIFT,Sinker,25.0,14.5
 Joe Mantiply,Mantiply, Joe,573009,AZ,L,90.4,364,861,SIFT,Sinker,29.4,18.3
 Josh Fleming,Fleming, Josh,676596,TB,L,91.2,362,662,SIFT,Sinker,30.3,17.5
 Michael Lorenzen,Lorenzen, Michael,547179,LAA,R,93.9,361,1654,SIFT,Sinker,22.7,17.0
 Andrew Chafin,Chafin, Andrew,605177,DET,L,91.6,352,899,SIFT,Sinker,20.6,15.1
 Brayan Bello,Bello, Brayan,678394,BOS,R,96.3,351,997,SIFT,Sinker,25.1,17.2
