name,avg_speed_FF,vertical_break_FF,horizonal_break_FF,avg_speed_SIFT,vertical_break_SIFT,horizonal_break_SIFT,avg_speed_CT,vertical_break_CT,horizonal_break_CT,avg_speed_CB,vertical_break_CB,horizonal_break_CB,avg_speed_SL,vertical_break_SL,horizonal_break_SL,avg_speed_CH,vertical_break_CH,horizonal_break_CH,kmeans
 Paul Blackburn,91.6,16.1,5.5,91.7,22.5,12.9,87.2,30.8,6.0,78.8,61.1,8.4,0.0,0.0,0.0,86.0,29.5,13.3,6
 Packy Naughton,92.8,17.2,7.1,92.6,21.1,15.3,0.0,0.0,0.0,0.0,0.0,0.0,80.9,42.2,3.5,84.4,32.1,14.1,3
 Wily Peralta,95.4,13.7,7.1,95.5,15.7,11.9,0.0,0.0,0.0,0.0,0.0,0.0,83.6,38.6,1.8,0.0,0.0,0.0,7
 Brayan Bello,97.0,15.7,9.5,96.3,25.1,17.2,0.0,0.0,0.0,0.0,0.0,0.0,85.0,39.7,4.2,88.2,30.4,16.7,3
 Dauri Moreta,95.9,11.9,8.2,96.0,12.7,11.9,0.0,0.0,0.0,0.0,0.0,0.0,85.7,35.8,3.7,87.8,21.3,12.5,3
 Zach Eflin,93.1,17.6,10.4,92.7,24.6,17.0,90.0,22.2,0.8,78.3,49.9,12.0,0.0,0.0,0.0,87.0,27.8,13.8,6
 Anthony Banda,95.2,15.0,10.9,93.0,22.8,17.6,0.0,0.0,0.0,81.1,48.8,7.0,0.0,0.0,0.0,86.6,31.6,14.6,6
 Garrett Richards,94.4,21.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6,35.9,2.3,90.0,30.1,15.2,1
 Evan Phillips,96.0,15.6,5.3,96.2,21.1,15.1,93.3,22.0,1.1,0.0,0.0,0.0,85.3,36.2,15.3,0.0,0.0,0.0,7
 Michael King,96.4,12.8,7.1,95.5,23.4,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.3,27.4,17.8,3
 Lou Trivino,95.6,16.0,9.2,95.8,21.0,16.4,92.3,25.2,2.0,0.0,0.0,0.0,81.9,40.2,16.8,87.4,35.4,16.1,3
 Michael Fulmer,94.2,15.0,4.0,94.5,20.2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,90.3,26.7,4.2,86.5,32.5,13.3,3
 Josh Winckowski,93.7,16.2,2.8,94.0,21.9,14.6,88.6,29.4,3.9,0.0,0.0,0.0,84.8,41.0,5.6,89.9,31.5,15.6,3
 Nick Sandlin,93.6,20.2,11.3,93.5,28.8,15.8,0.0,0.0,0.0,0.0,0.0,0.0,78.9,37.8,12.7,0.0,0.0,0.0,7
 Joe Barlow,94.6,11.4,6.1,0.0,0.0,0.0,0.0,0.0,0.0,81.3,50.2,1.8,87.3,28.4,3.8,0.0,0.0,0.0,8
 Jake Woodford,92.4,18.4,5.5,91.8,24.3,12.6,0.0,0.0,0.0,75.3,66.2,10.7,82.1,43.7,12.7,0.0,0.0,0.0,9
 Dillon Peters,92.9,15.1,4.8,92.5,19.3,13.4,0.0,0.0,0.0,77.3,56.6,11.7,84.7,38.8,3.8,84.8,28.1,12.6,2
 Clarke Schmidt,94.7,16.6,4.9,94.9,23.4,14.3,0.0,0.0,0.0,83.5,48.8,15.0,86.4,32.9,8.3,0.0,0.0,0.0,9
 Manny Bañuelos,93.7,17.8,11.5,93.4,23.6,16.1,0.0,0.0,0.0,81.7,39.5,10.3,85.8,34.0,5.2,83.1,34.5,15.7,2
 Javier Assad,92.9,15.2,6.9,92.3,20.0,14.2,88.1,28.2,3.6,0.0,0.0,0.0,81.2,37.7,10.8,85.4,29.6,14.2,3
 Huascar Brazoban,97.3,14.2,10.3,96.7,20.2,17.0,87.7,29.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,89.0,31.0,15.8,3
 JT Brubaker,92.7,16.2,9.3,93.1,21.7,16.1,0.0,0.0,0.0,80.0,50.9,6.5,86.7,34.3,0.9,87.2,29.6,15.2,2
 Aaron Civale,90.7,16.0,2.1,91.3,21.2,12.2,86.3,32.3,6.6,75.9,65.8,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0
 Adam Ottavino,94.8,16.6,8.2,94.2,24.7,16.4,87.8,29.4,3.4,0.0,0.0,0.0,81.0,40.1,17.7,89.1,33.3,16.5,3
 Chase Anderson,91.9,14.7,6.8,92.5,16.5,11.9,90.2,18.0,0.9,77.8,61.8,6.1,83.6,33.2,8.1,82.9,26.0,16.6,2
 Tyler Gilbert,89.5,18.9,7.0,89.7,22.0,14.1,86.2,26.0,2.5,76.2,60.3,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0
 Hayden Wesneski,93.1,18.6,6.3,92.0,25.7,16.9,88.7,29.0,4.0,0.0,0.0,0.0,81.2,40.3,18.1,87.0,32.4,15.3,3
 Alex Colomé,94.5,14.4,2.4,0.0,0.0,0.0,90.8,26.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
 Kendall Graveman,96.6,13.9,9.0,96.5,18.9,15.5,0.0,0.0,0.0,0.0,0.0,0.0,88.7,32.2,5.2,90.7,28.2,14.0,3
 José Ureña,96.1,16.9,9.9,95.6,22.4,14.5,0.0,0.0,0.0,0.0,0.0,0.0,86.8,30.4,1.5,90.2,24.7,11.7,3
 Duane Underwood Jr.,95.9,14.9,7.2,95.3,19.0,14.1,92.4,25.2,0.3,82.7,51.2,7.4,0.0,0.0,0.0,89.6,27.8,14.8,6
 Kirby Snead,93.5,18.5,14.2,93.3,25.3,18.7,0.0,0.0,0.0,0.0,0.0,0.0,82.0,41.2,9.2,87.6,35.9,18.6,3
 Tommy Nance,93.8,15.4,9.1,94.2,23.7,15.9,0.0,0.0,0.0,85.3,49.4,11.5,86.9,39.3,2.7,0.0,0.0,0.0,9
 Anthony Bass,95.0,13.5,6.4,95.4,16.2,13.7,0.0,0.0,0.0,0.0,0.0,0.0,86.6,38.0,4.7,0.0,0.0,0.0,7
 Scott Effross,90.8,29.6,17.3,90.3,37.1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8,40.3,12.5,83.0,48.6,14.3,3
 Albert Abreu,97.6,12.9,10.6,98.5,15.1,14.7,0.0,0.0,0.0,0.0,0.0,0.0,88.6,29.3,2.5,88.0,26.6,16.6,3
 Jason Foley,96.1,16.7,13.0,96.3,23.8,17.2,0.0,0.0,0.0,0.0,0.0,0.0,85.5,35.9,6.6,89.5,31.7,14.8,3
 Wade Miley,89.1,16.7,3.3,0.0,0.0,0.0,85.1,29.7,2.9,0.0,0.0,0.0,78.7,40.0,11.1,81.4,34.6,16.1,1
 Brett Martin,93.5,17.2,5.4,93.5,18.8,14.4,0.0,0.0,0.0,82.8,47.9,1.9,86.8,33.2,2.6,0.0,0.0,0.0,9
 Dallas Keuchel,87.9,21.6,3.5,87.2,30.1,15.4,85.2,30.0,1.3,0.0,0.0,0.0,77.0,45.3,9.8,79.2,38.7,14.3,3
 Yohan Ramirez,93.8,19.0,9.2,95.7,24.4,17.8,0.0,0.0,0.0,0.0,0.0,0.0,82.7,34.9,15.3,0.0,0.0,0.0,7
 Humberto Castellanos,89.4,22.6,6.5,90.4,31.3,16.1,0.0,0.0,0.0,76.5,54.0,11.7,86.2,29.2,1.6,84.0,35.8,15.2,2
 Brusdar Graterol,99.4,14.4,8.3,99.7,19.8,16.5,95.6,22.3,0.2,0.0,0.0,0.0,90.6,32.1,5.4,0.0,0.0,0.0,7
 Daulton Jefferies,92.4,17.2,10.8,92.5,19.6,16.6,89.6,23.4,2.8,80.2,44.7,5.1,0.0,0.0,0.0,86.1,33.1,15.0,6
 Dennis Santana,97.7,13.9,12.8,96.7,20.5,17.6,0.0,0.0,0.0,0.0,0.0,0.0,85.8,39.4,1.7,89.9,25.7,17.2,3
 Jared Koenig,89.4,21.1,4.2,89.2,23.2,11.9,82.9,35.5,4.2,77.6,54.0,10.0,0.0,0.0,0.0,82.8,32.6,13.2,6
 Ryan Thompson,91.6,26.8,13.5,90.0,41.7,15.8,0.0,0.0,0.0,0.0,0.0,0.0,79.5,34.4,13.7,0.0,0.0,0.0,7
 Daniel Castano,92.0,19.5,5.3,89.4,27.3,10.7,86.5,30.0,0.4,0.0,0.0,0.0,81.2,42.0,7.4,84.0,29.8,12.6,3
 Jhoulys Chacín,92.6,18.4,3.1,92.9,22.1,11.6,0.0,0.0,0.0,79.8,43.9,14.7,87.0,31.2,4.1,0.0,0.0,0.0,9
 Víctor Arano,94.5,14.8,8.5,93.9,21.3,16.9,0.0,0.0,0.0,0.0,0.0,0.0,84.8,36.6,0.8,0.0,0.0,0.0,7
 Ralph Garza Jr.,91.2,16.1,7.7,87.8,36.5,16.2,89.4,19.3,1.1,0.0,0.0,0.0,77.5,37.5,13.8,83.1,33.4,16.4,3
 Matt Wisler,89.7,17.1,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8,43.7,8.1,0.0,0.0,0.0,5
 Joely Rodríguez,92.8,20.2,12.0,92.7,25.7,17.4,0.0,0.0,0.0,0.0,0.0,0.0,83.9,40.0,5.2,87.8,35.1,11.3,3
 Tyler Danish,91.2,24.9,13.2,90.9,34.7,17.7,0.0,0.0,0.0,80.9,37.6,11.4,0.0,0.0,0.0,84.4,39.5,14.6,6
 Diego Castillo,95.7,18.9,11.9,95.1,25.4,17.3,0.0,0.0,0.0,0.0,0.0,0.0,88.4,28.8,0.2,0.0,0.0,0.0,7
 Richard Bleier,90.7,21.2,7.1,89.8,30.6,15.5,87.3,29.6,0.9,0.0,0.0,0.0,77.7,48.3,8.8,82.9,35.1,15.9,3
Emmanuel Clase,99.9,13.9,4.3,0.0,0.0,0.0,99.5,16.5,3.2,0.0,0.0,0.0,91.9,32.4,7.1,0.0,0.0,0.0,5
