name,avg_speed_FF,vertical_break_FF,horizonal_break_FF,avg_speed_SIFT,vertical_break_SIFT,horizonal_break_SIFT,avg_speed_CT,vertical_break_CT,horizonal_break_CT,avg_speed_CB,vertical_break_CB,horizonal_break_CB,avg_speed_SL,vertical_break_SL,horizonal_break_SL,avg_speed_CH,vertical_break_CH,horizonal_break_CH,kmeans
 Tyler Alexander,90.1,15.9,7.7,90.1,21.0,14.8,85.5,27.8,3.8,0.0,0.0,0.0,77.7,45.0,13.4,82.8,31.5,13.7,3
 Adrian Morejon,96.9,12.2,6.8,0.0,0.0,0.0,0.0,0.0,0.0,80.1,51.2,10.2,87.6,37.2,5.3,0.0,0.0,0.0,8
 Josh Staumont,96.1,11.6,2.7,97.1,12.2,9.0,0.0,0.0,0.0,82.2,52.4,9.2,0.0,0.0,0.0,0.0,0.0,0.0,9
 Michael Lorenzen,94.6,15.8,11.9,93.9,22.7,17.0,90.4,24.6,0.0,0.0,0.0,0.0,83.4,39.6,10.2,85.7,27.8,16.2,3
 Buck Farmer,94.6,15.3,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3,37.4,7.5,88.7,34.5,14.0,1
 Tanner Rainey,97.0,11.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.4,33.5,3.6,0.0,0.0,0.0,5
 Chris Bassitt,93.3,17.8,5.5,92.8,22.5,16.0,89.1,25.6,2.5,71.6,67.9,14.9,82.8,38.6,6.8,85.4,30.9,16.2,2
 Adam Cimber,86.5,31.6,10.9,86.5,45.7,12.2,0.0,0.0,0.0,0.0,0.0,0.0,77.8,37.5,7.4,0.0,0.0,0.0,7
 Taylor Clarke,95.6,12.3,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.4,31.4,3.6,89.0,29.5,14.1,1
 Chris Martin,95.3,15.9,7.7,94.6,19.7,14.3,91.7,26.1,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
 Andrés Muñoz,100.2,13.9,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6,29.7,4.3,0.0,0.0,0.0,5
 Jimmy Lambert,94.3,12.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,76.8,65.4,5.9,84.4,39.9,5.6,85.4,31.2,14.6,4
 Walker Buehler,95.2,13.3,5.9,0.0,0.0,0.0,91.5,23.4,4.5,79.2,57.7,11.5,83.5,37.2,13.9,90.5,28.3,13.7,4
 Kyle Hendricks,86.9,20.4,6.0,86.5,27.8,12.9,0.0,0.0,0.0,72.7,67.5,13.7,0.0,0.0,0.0,79.9,32.2,12.4,6
 Braxton Garrett,91.4,17.1,9.3,90.9,26.3,16.4,0.0,0.0,0.0,78.7,53.2,11.4,84.1,41.7,9.0,85.9,33.5,16.9,2
 Gregory Soto,98.7,14.5,11.2,98.1,18.6,16.7,0.0,0.0,0.0,0.0,0.0,0.0,89.3,28.1,1.4,0.0,0.0,0.0,7
 Robert Suarez,97.9,11.6,7.3,97.0,14.7,14.0,93.6,20.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,89.3,26.7,16.2,3
 Spencer Howard,94.4,14.4,7.6,0.0,0.0,0.0,84.8,37.7,5.2,75.0,66.1,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0
 Sam Hentges,95.7,15.1,8.4,95.7,19.7,14.1,0.0,0.0,0.0,81.3,55.5,6.3,88.0,33.2,3.5,0.0,0.0,0.0,9
 Daniel Norris,91.2,15.5,7.4,90.9,22.7,15.7,0.0,0.0,0.0,0.0,0.0,0.0,79.9,42.6,13.4,86.7,37.3,13.1,3
 Jackson Stephens,94.1,16.2,6.1,94.0,21.7,15.2,0.0,0.0,0.0,76.8,57.8,16.0,0.0,0.0,0.0,85.9,35.2,8.2,6
 Jovani Moran,93.4,13.4,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3,31.4,13.7,1
