,name,pitcher_id,pitch_hand,avg_speed_FF,pitch_type_FF,vertical_break_FF,horizonal_break_FF,avg_speed_SIFT,pitch_type_SIFT,vertical_break_SIFT,horizonal_break_SIFT,avg_speed_CT,pitch_type_CT,vertical_break_CT,horizonal_break_CT,avg_speed_CB,pitch_type_CB,vertical_break_CB,horizonal_break_CB,avg_speed_SL,pitch_type_SL,vertical_break_SL,horizonal_break_SL,avg_speed_CH,pitch_type_CH,vertical_break_CH,horizonal_break_CH
43, Ian Anderson,666120,R,94.0,FF,14.3,5.9,0.0,0,0.0,0.0,0.0,0,0.0,0.0,81.7,CUKC,43.8,0.6,0.0,0,0.0,0.0,88.2,CH,25.3,10.4
44, George Kirby,669923,R,95.3,FF,15.1,8.8,94.7,SIFT,20.6,16.2,88.3,FC,30.2,3.8,80.8,CUKC,53.6,9.9,85.5,SL,38.1,10.1,86.0,CH,33.5,15.3
45, Andre Pallante,669467,R,95.2,FF,21.0,3.6,94.8,SIFT,17.9,12.7,0.0,0,0.0,0.0,76.5,CUKC,65.1,9.0,87.0,SL,37.3,5.4,0.0,0,0.0,0.0
46, Jordan Lyles,543475,R,91.8,FF,15.5,5.8,90.8,SIFT,20.8,13.4,0.0,0,0.0,0.0,79.1,CUKC,58.7,7.6,80.0,SL,44.2,16.8,86.3,CH,29.1,13.7
47, Cole Irvin,608344,L,90.7,FF,17.1,9.8,90.3,SIFT,21.5,14.3,0.0,0,0.0,0.0,77.5,CUKC,49.6,8.2,0.0,0,0.0,0.0,83.0,CH,32.5,13.3
48, Yusei Kikuchi,579328,L,94.9,FF,13.6,11.5,0.0,0,0.0,0.0,91.1,FC,21.9,0.3,0.0,0,0.0,0.0,86.5,SL,34.5,3.1,87.0,CH,28.1,10.5
49, Jake Odorizzi,543606,R,92.1,FF,15.0,9.8,0.0,0,0.0,0.0,87.6,FC,23.3,2.6,0.0,0,0.0,0.0,82.6,SL,36.6,6.5,0.0,0,0.0,0.0
50, Lance Lynn,458681,R,93.0,FF,18.3,3.7,91.5,SIFT,25.8,10.9,89.0,FC,29.0,2.2,82.0,CUKC,42.2,10.4,0.0,0,0.0,0.0,0.0,0,0.0,0.0
51, Zach Plesac,668676,R,91.9,FF,13.5,7.4,0.0,0,0.0,0.0,0.0,0,0.0,0.0,79.3,CUKC,52.8,1.9,85.4,SL,29.9,1.3,85.7,CH,24.9,11.4
52, Max Fried,608331,L,94.0,FF,18.5,1.7,93.6,SIFT,21.6,11.0,0.0,0,0.0,0.0,74.3,CUKC,66.8,9.5,87.3,SL,34.9,3.8,86.5,CH,32.4,12.9
53, Madison Bumgarner,518516,L,91.2,FF,17.8,8.0,0.0,0,0.0,0.0,87.4,FC,27.7,2.9,78.6,CUKC,47.1,9.2,0.0,0,0.0,0.0,85.5,CH,29.6,13.0
54, Paolo Espino,502179,R,88.5,FF,15.9,2.8,0.0,0,0.0,0.0,0.0,0,0.0,0.0,71.3,CUKC,73.2,13.1,77.7,SL,44.2,18.7,0.0,0,0.0,0.0
